W0923 07:37:08.362000 6961 torch/distributed/run.py:874] 
W0923 07:37:08.362000 6961 torch/distributed/run.py:874] *****************************************
W0923 07:37:08.362000 6961 torch/distributed/run.py:874] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0923 07:37:08.362000 6961 torch/distributed/run.py:874] *****************************************
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Loading weights:   0%|          | 0/399 [00:00<?, ?it/s]Loading weights:   0%|          | 0/399 [00:00<?, ?it/s]Loading weights:  28%|██▊       | 110/399 [00:00<00:00, 1047.23it/s]Loading weights:  30%|██▉       | 118/399 [00:00<00:00, 1139.70it/s]Loading weights:  54%|█████▍    | 215/399 [00:00<00:00, 1015.05it/s]Loading weights:  58%|█████▊    | 232/399 [00:00<00:00, 1102.18it/s]Loading weights:  85%|████████▍ | 339/399 [00:00<00:00, 1106.78it/s]Loading weights:  89%|████████▉ | 355/399 [00:00<00:00, 1158.71it/s]Loading weights: 100%|██████████| 399/399 [00:00<00:00, 1129.79it/s]
Loading weights: 100%|██████████| 399/399 [00:00<00:00, 1181.25it/s]
08:16:02 step 1960/3020 loss=0.7153 acc=0.750 records/s=13.9
08:16:25 step 1980/3020 loss=1.0996 acc=0.625 records/s=13.9
08:16:46 step 2000/3020 loss=0.8430 acc=0.625 records/s=13.9
08:17:08 step 2020/3020 loss=1.5465 acc=0.375 records/s=13.9
08:17:30 step 2040/3020 loss=0.2304 acc=0.875 records/s=13.9
08:17:51 step 2060/3020 loss=0.8220 acc=0.625 records/s=13.9
08:18:13 step 2080/3020 loss=1.2490 acc=0.500 records/s=13.9
08:18:35 step 2100/3020 loss=1.2266 acc=0.500 records/s=13.9
08:18:56 step 2120/3020 loss=0.8146 acc=0.750 records/s=13.9
08:19:18 step 2140/3020 loss=0.2834 acc=1.000 records/s=13.9
08:19:40 step 2160/3020 loss=1.1266 acc=0.500 records/s=14.0
08:20:02 step 2180/3020 loss=0.6072 acc=0.875 records/s=14.0
08:20:24 step 2200/3020 loss=1.2015 acc=0.750 records/s=14.0
08:20:45 step 2220/3020 loss=1.2860 acc=0.375 records/s=14.0
08:21:07 step 2240/3020 loss=1.1688 acc=0.500 records/s=14.0
08:21:29 step 2260/3020 loss=1.7133 acc=0.375 records/s=14.0
08:22:03 step 2280/3020 loss=1.2079 acc=0.625 records/s=13.9
08:22:50 step 2300/3020 loss=0.4215 acc=0.875 records/s=13.8
08:23:36 step 2320/3020 loss=1.7694 acc=0.500 records/s=13.7
08:24:23 step 2340/3020 loss=0.4386 acc=0.875 records/s=13.6
08:25:10 step 2360/3020 loss=0.4404 acc=0.875 records/s=13.5
08:25:57 step 2380/3020 loss=0.5187 acc=0.750 records/s=13.3
08:26:44 step 2400/3020 loss=1.6260 acc=0.750 records/s=13.2
08:27:31 step 2420/3020 loss=1.7630 acc=0.375 records/s=13.1
08:28:18 step 2440/3020 loss=1.8864 acc=0.625 records/s=13.0
08:29:05 step 2460/3020 loss=0.7816 acc=0.750 records/s=12.9
08:29:52 step 2480/3020 loss=1.2181 acc=0.750 records/s=12.8
08:30:39 step 2500/3020 loss=2.2604 acc=0.500 records/s=12.8
08:31:26 step 2520/3020 loss=0.7882 acc=0.625 records/s=12.7
08:32:13 step 2540/3020 loss=0.5190 acc=0.875 records/s=12.6
08:32:59 step 2560/3020 loss=0.7868 acc=0.750 records/s=12.5
08:33:46 step 2580/3020 loss=0.9314 acc=0.625 records/s=12.4
08:34:33 step 2600/3020 loss=1.5775 acc=0.500 records/s=12.3
08:35:20 step 2620/3020 loss=0.9649 acc=0.750 records/s=12.3
08:36:07 step 2640/3020 loss=0.7617 acc=0.750 records/s=12.2
08:36:54 step 2660/3020 loss=0.3171 acc=0.875 records/s=12.1
08:37:41 step 2680/3020 loss=0.6800 acc=0.750 records/s=12.1
08:38:28 step 2700/3020 loss=0.7580 acc=0.500 records/s=12.0
08:39:15 step 2720/3020 loss=0.6085 acc=0.750 records/s=11.9
08:40:02 step 2740/3020 loss=0.8561 acc=0.875 records/s=11.9
08:40:49 step 2760/3020 loss=0.8027 acc=0.875 records/s=11.8
08:41:36 step 2780/3020 loss=0.7290 acc=0.750 records/s=11.7
08:42:24 step 2800/3020 loss=0.6525 acc=0.750 records/s=11.7
08:43:10 step 2820/3020 loss=0.8145 acc=0.750 records/s=11.6
08:43:58 step 2840/3020 loss=0.2506 acc=1.000 records/s=11.5
08:44:45 step 2860/3020 loss=0.1233 acc=1.000 records/s=11.5
08:45:32 step 2880/3020 loss=0.4741 acc=0.875 records/s=11.4
08:46:19 step 2900/3020 loss=2.1766 acc=0.500 records/s=11.4
08:47:06 step 2920/3020 loss=0.4659 acc=0.875 records/s=11.3
08:47:52 step 2940/3020 loss=1.8750 acc=0.500 records/s=11.3
08:48:39 step 2960/3020 loss=0.7356 acc=0.750 records/s=11.2
08:49:26 step 2980/3020 loss=0.7750 acc=0.750 records/s=11.2
08:50:13 step 3000/3020 loss=0.4308 acc=0.875 records/s=11.1
08:51:00 step 3020/3020 loss=1.0561 acc=0.500 records/s=11.1
09:00:12 test hr@1=0.6334 hr@5=0.9058 ndcg@10=0.8040 mrr=0.7533 nll=1.1914 brier=0.4876 ece=0.0258 coverage@p95=0.2604 T=1.205 tokens/record=923
/usr/local/lib/python3.12/dist-packages/torch/distributed/c10d_logger.py:83: UserWarning: barrier(): using the device under current context. You can specify `device_id` in `init_process_group` to mute this warning.
  return func(*args, **kwargs)
