W0923 06:42:33.309000 1925 torch/distributed/run.py:874] 
W0923 06:42:33.309000 1925 torch/distributed/run.py:874] *****************************************
W0923 06:42:33.309000 1925 torch/distributed/run.py:874] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0923 06:42:33.309000 1925 torch/distributed/run.py:874] *****************************************
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Loading weights:   0%|          | 0/311 [00:00<?, ?it/s]Loading weights:   0%|          | 0/311 [00:00<?, ?it/s]Loading weights:  28%|██▊       | 87/311 [00:00<00:00, 859.07it/s]Loading weights:  57%|█████▋    | 176/311 [00:00<00:00, 1738.19it/s]Loading weights:  59%|█████▉    | 185/311 [00:00<00:00, 922.00it/s]Loading weights:  89%|████████▉ | 278/311 [00:00<00:00, 917.75it/s]Loading weights: 100%|██████████| 311/311 [00:00<00:00, 942.59it/s]
Loading weights: 100%|██████████| 311/311 [00:00<00:00, 1308.63it/s]
06:56:24 step 1720/3020 loss=0.6650 acc=0.750 records/s=34.7
06:56:33 step 1740/3020 loss=0.3077 acc=1.000 records/s=34.7
06:56:41 step 1760/3020 loss=0.9443 acc=0.625 records/s=34.7
06:56:50 step 1780/3020 loss=1.5416 acc=0.500 records/s=34.8
06:56:59 step 1800/3020 loss=1.1694 acc=0.625 records/s=34.8
06:57:08 step 1820/3020 loss=0.7046 acc=0.750 records/s=34.8
06:57:17 step 1840/3020 loss=1.1103 acc=0.500 records/s=34.8
06:57:25 step 1860/3020 loss=1.2115 acc=0.625 records/s=34.8
06:57:34 step 1880/3020 loss=0.9980 acc=0.625 records/s=34.8
06:57:43 step 1900/3020 loss=0.9193 acc=0.750 records/s=34.9
06:57:51 step 1920/3020 loss=0.4193 acc=0.875 records/s=34.9
06:58:00 step 1940/3020 loss=1.3107 acc=0.625 records/s=34.9
06:58:09 step 1960/3020 loss=1.1128 acc=0.625 records/s=34.9
06:58:18 step 1980/3020 loss=1.3632 acc=0.625 records/s=34.9
06:58:27 step 2000/3020 loss=0.8789 acc=0.750 records/s=34.9
06:58:36 step 2020/3020 loss=1.5652 acc=0.375 records/s=34.9
06:58:45 step 2040/3020 loss=0.3054 acc=0.875 records/s=34.9
06:58:54 step 2060/3020 loss=1.0272 acc=0.625 records/s=35.0
06:59:02 step 2080/3020 loss=1.2495 acc=0.625 records/s=35.0
06:59:11 step 2100/3020 loss=1.5351 acc=0.500 records/s=35.0
06:59:20 step 2120/3020 loss=1.4525 acc=0.750 records/s=35.0
06:59:29 step 2140/3020 loss=0.3498 acc=0.875 records/s=35.0
06:59:38 step 2160/3020 loss=1.0918 acc=0.625 records/s=35.0
06:59:47 step 2180/3020 loss=0.7085 acc=0.875 records/s=35.0
06:59:56 step 2200/3020 loss=1.1969 acc=0.750 records/s=35.0
07:00:04 step 2220/3020 loss=1.1384 acc=0.625 records/s=35.0
07:00:13 step 2240/3020 loss=1.2977 acc=0.500 records/s=35.0
07:00:22 step 2260/3020 loss=2.1408 acc=0.250 records/s=35.1
07:00:31 step 2280/3020 loss=1.4771 acc=0.500 records/s=35.1
07:00:40 step 2300/3020 loss=0.5398 acc=0.875 records/s=35.1
07:00:48 step 2320/3020 loss=1.8146 acc=0.375 records/s=35.1
07:00:57 step 2340/3020 loss=0.5127 acc=0.750 records/s=35.1
07:01:06 step 2360/3020 loss=0.8680 acc=0.750 records/s=35.1
07:01:15 step 2380/3020 loss=0.6286 acc=0.625 records/s=35.1
07:01:24 step 2400/3020 loss=1.6767 acc=0.625 records/s=35.1
07:01:33 step 2420/3020 loss=1.9915 acc=0.250 records/s=35.1
07:01:41 step 2440/3020 loss=1.8226 acc=0.625 records/s=35.2
07:01:50 step 2460/3020 loss=0.6957 acc=0.625 records/s=35.2
07:01:59 step 2480/3020 loss=1.3559 acc=0.500 records/s=35.2
07:02:08 step 2500/3020 loss=2.1213 acc=0.500 records/s=35.2
07:02:17 step 2520/3020 loss=0.8924 acc=0.625 records/s=35.2
07:02:26 step 2540/3020 loss=0.8718 acc=0.625 records/s=35.2
07:02:34 step 2560/3020 loss=0.8420 acc=0.750 records/s=35.2
07:02:43 step 2580/3020 loss=0.8777 acc=0.625 records/s=35.2
07:02:52 step 2600/3020 loss=1.6893 acc=0.625 records/s=35.2
07:03:01 step 2620/3020 loss=1.2970 acc=0.375 records/s=35.2
07:03:10 step 2640/3020 loss=1.1214 acc=0.500 records/s=35.2
07:03:19 step 2660/3020 loss=0.4195 acc=0.875 records/s=35.2
07:03:27 step 2680/3020 loss=0.6884 acc=0.875 records/s=35.2
07:03:36 step 2700/3020 loss=0.7478 acc=0.500 records/s=35.2
07:03:46 step 2720/3020 loss=0.9944 acc=0.625 records/s=35.2
07:03:55 step 2740/3020 loss=0.8979 acc=0.875 records/s=35.2
07:04:03 step 2760/3020 loss=0.5908 acc=0.875 records/s=35.3
07:04:12 step 2780/3020 loss=0.8680 acc=0.625 records/s=35.3
07:04:21 step 2800/3020 loss=0.6652 acc=0.625 records/s=35.3
07:04:30 step 2820/3020 loss=0.7116 acc=0.750 records/s=35.3
07:04:39 step 2840/3020 loss=0.5896 acc=0.875 records/s=35.3
07:04:47 step 2860/3020 loss=0.3537 acc=0.875 records/s=35.3
07:04:56 step 2880/3020 loss=0.3838 acc=0.875 records/s=35.3
07:05:04 step 2900/3020 loss=1.3654 acc=0.625 records/s=35.3
07:05:13 step 2920/3020 loss=0.4345 acc=0.875 records/s=35.3
07:05:22 step 2940/3020 loss=1.8269 acc=0.500 records/s=35.3
07:05:31 step 2960/3020 loss=0.5208 acc=0.625 records/s=35.3
07:05:39 step 2980/3020 loss=0.7970 acc=0.625 records/s=35.4
07:05:48 step 3000/3020 loss=0.4644 acc=0.875 records/s=35.4
07:05:57 step 3020/3020 loss=1.2830 acc=0.375 records/s=35.4
07:07:35 test hr@1=0.6043 hr@5=0.8939 ndcg@10=0.7854 mrr=0.7313 nll=1.2882 brier=0.5215 ece=0.0231 coverage@p95=0.2045 T=1.201 tokens/record=910
/usr/local/lib/python3.12/dist-packages/torch/distributed/c10d_logger.py:83: UserWarning: barrier(): using the device under current context. You can specify `device_id` in `init_process_group` to mute this warning.
  return func(*args, **kwargs)
