W0923 09:14:10.771000 10042 torch/distributed/run.py:874] 
W0923 09:14:10.771000 10042 torch/distributed/run.py:874] *****************************************
W0923 09:14:10.771000 10042 torch/distributed/run.py:874] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0923 09:14:10.771000 10042 torch/distributed/run.py:874] *****************************************
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Loading weights:   0%|          | 0/311 [00:00<?, ?it/s]Loading weights:   0%|          | 0/311 [00:00<?, ?it/s]Loading weights: 100%|██████████| 311/311 [00:00<00:00, 8864.50it/s]
Loading weights: 100%|██████████| 311/311 [00:00<00:00, 8719.85it/s]
09:48:34 step 2200/3020 loss=1.2252 acc=0.500 records/s=17.3
09:48:52 step 2220/3020 loss=1.1051 acc=0.500 records/s=17.3
09:49:11 step 2240/3020 loss=1.9751 acc=0.375 records/s=17.3
09:49:29 step 2260/3020 loss=1.7854 acc=0.500 records/s=17.3
09:49:47 step 2280/3020 loss=1.6355 acc=0.375 records/s=17.3
09:50:05 step 2300/3020 loss=0.7800 acc=0.500 records/s=17.3
09:50:24 step 2320/3020 loss=0.9389 acc=0.750 records/s=17.3
09:50:42 step 2340/3020 loss=1.9205 acc=0.250 records/s=17.3
09:51:00 step 2360/3020 loss=0.2966 acc=0.875 records/s=17.3
09:51:19 step 2380/3020 loss=1.6350 acc=0.500 records/s=17.3
09:51:37 step 2400/3020 loss=1.4925 acc=0.375 records/s=17.3
09:51:55 step 2420/3020 loss=1.3683 acc=0.625 records/s=17.3
09:52:13 step 2440/3020 loss=1.6221 acc=0.375 records/s=17.3
09:52:32 step 2460/3020 loss=0.7037 acc=0.625 records/s=17.3
09:52:50 step 2480/3020 loss=0.9425 acc=0.750 records/s=17.3
09:53:08 step 2500/3020 loss=1.5647 acc=0.500 records/s=17.3
09:53:27 step 2520/3020 loss=0.9341 acc=0.625 records/s=17.3
09:53:45 step 2540/3020 loss=1.7669 acc=0.375 records/s=17.3
09:54:03 step 2560/3020 loss=1.7344 acc=0.250 records/s=17.3
09:54:21 step 2580/3020 loss=1.0212 acc=0.625 records/s=17.3
09:54:39 step 2600/3020 loss=1.1012 acc=0.625 records/s=17.3
09:54:58 step 2620/3020 loss=1.4408 acc=0.500 records/s=17.3
09:55:16 step 2640/3020 loss=1.7323 acc=0.375 records/s=17.3
09:55:34 step 2660/3020 loss=1.2739 acc=0.500 records/s=17.3
09:55:52 step 2680/3020 loss=0.9015 acc=0.750 records/s=17.3
09:56:10 step 2700/3020 loss=0.9989 acc=0.750 records/s=17.3
09:56:28 step 2720/3020 loss=2.6273 acc=0.500 records/s=17.3
09:56:46 step 2740/3020 loss=1.3576 acc=0.250 records/s=17.3
09:57:04 step 2760/3020 loss=1.9377 acc=0.250 records/s=17.3
09:57:22 step 2780/3020 loss=1.3534 acc=0.625 records/s=17.3
09:57:41 step 2800/3020 loss=0.6929 acc=0.875 records/s=17.3
09:57:59 step 2820/3020 loss=0.8954 acc=0.625 records/s=17.3
